city1,geonameid1,country1,city2,geonameid2,country2
Gdańsk 1957.03.15.,,PL,Kańsk,1504682,RU
Gdańsk 1957.03.15.,,PL,Gais,2660681,CH
Gdańsk 1957.03.15.,,PL,Gnas,2778427,AT
Gdańsk 1957.03.15.,,PL,Grans,3014868,FR
Gdańsk 1957.03.15.,,PL,Gdańsk,3099434,PL
Gdynia,,PL,Gadani,1179185,PK
Gdynia,,PL,Gyigang,1281098,CN
Gdynia,,PL,Gandia,2517367,ES
Gdynia,,PL,Gozdnica,3098583,PL
Gdynia,,PL,Gdynia,3099424,PL
Graz,,AT,Gryazi,558312,RU
Graz,,AT,Grazhdanskoye,559020,RU
Graz,,AT,Grazhdanka,559029,RU
Graz,,AT,Grazalema,2517049,ES
Graz,,AT,Graz,2778067,AT
Gyöngyös,,HU,Gayny,561698,RU
Gyöngyös,,HU,Gyeongsan,1841598,KR
Gyöngyös,,HU,Györ,3052009,HU
Gyöngyös,,HU,Gyönk,3052013,HU
Gyöngyös,,HU,Gyöngyös,3052040,HU
Halstenbek,,DE,Hadsten,2620956,DK
Halstenbek,,DE,Halstead,2647604,GB
Halstenbek,,DE,Halen,2796715,BE
Halstenbek,,DE,Haltern,2911395,DE
Halstenbek,,DE,Halstenbek,2911408,DE
Hamburg,,DE,Hama,170017,SY
Hamburg,,DE,Ḩabūr,407096,YE
Hamburg,,DE,Haselberg,541947,RU
Hamburg,,DE,Hașuri,613988,GE
Hamburg,,DE,Hamburg,696114,UA
Heidelberg,,DE,Helebce,96205,IQ
Heidelberg,,DE,Heleb,170063,SY
Heidelberg,,DE,Heydekrug,594656,LT
Heidelberg,,DE,Heilsberg,766307,PL
Heidelberg,,DE,Heidelberg,997151,ZA
Isingdorf,,DE,Isiro,215771,CD
Isingdorf,,DE,Islington,2646003,GB
Isingdorf,,DE,Pinsdorf,2768804,AT
Isingdorf,,DE,Königsdorf,2885898,DE
Isingdorf,,DE,Igensdorf,2896689,DE
Jarocin,,PL,Jahri,148291,AZ
Jarocin,,PL,Jar,469017,RU
Jarocin,,PL,Jadrin,469809,RU
Jarocin,,PL,Jarmolińce,688440,UA
Jarocin,,PL,Jarocin,770383,PL
Katowice,,PL,Katochi,260572,GR
Katowice,,PL,Kati,2455558,ML
Katowice,,PL,Katovice,3073754,CZ
Katowice,,PL,Krapkowice,3094788,PL
Katowice,,PL,Katowice,3096472,PL
Kecskemét,,HU,Kercs,706524,UA
Kecskemét,,HU,Kelkit,743537,TR
Kecskemét,,HU,Kefken,743558,TR
